Group,Variable,n,alpha,beta,mean,std,KS_stat,KS_p
owner,TP,694,6.12264,4.480251,0.5775,0.145,0.0534,0.0366
owner,CP,694,5.430291,3.333322,0.6196,0.1554,0.1494,0.0
owner,SP,694,2.666478,2.014197,0.5697,0.2077,0.1488,0.0
owner,SC,694,3.367934,1.154551,0.7447,0.1855,0.2861,0.0
owner,PA,694,3.574675,1.850491,0.6589,0.187,0.1361,0.0
renter,TP,243,4.765219,3.36416,0.5862,0.163,0.0459,0.6673
renter,CP,243,5.236203,3.154798,0.624,0.1581,0.1113,0.0044
renter,SP,243,2.142183,1.474363,0.5923,0.2287,0.1748,0.0
renter,SC,243,3.996214,1.576349,0.7171,0.1757,0.2133,0.0
renter,PA,243,2.761719,1.42806,0.6592,0.2081,0.1649,0.0
