tract_geoid,group,sfha_share,share_status,households,assigned_inside_SFHA
34013021300,owner,0.0030656039239730227,NSI_unit_weighted,1924,6
34013021300,renter,0.0,NSI_unit_weighted,223,0
34013021601,owner,0.39468542399374756,NSI_unit_weighted,2254,890
34013021601,renter,0.23564954682779457,NSI_unit_weighted,492,116
34013021602,owner,0.0024975024975024975,NSI_unit_weighted,2244,6
34013021602,renter,0.0,NSI_unit_weighted,13,0
34013021802,owner,0.00202020202020202,NSI_unit_weighted,1068,2
34013021802,renter,0.1968503937007874,NSI_unit_weighted,366,72
34013021803,owner,0.0034083162917518746,NSI_unit_weighted,1490,5
34013021803,renter,0.0,NSI_unit_weighted,192,0
34027040101,owner,0.0,NSI_unit_weighted,916,0
34027040101,renter,0.0,NSI_unit_weighted,575,0
34027040102,owner,0.0,NSI_unit_weighted,2209,0
34027040102,renter,0.0,NSI_unit_weighted,361,0
34027040200,owner,0.0,NSI_unit_weighted,2185,0
34027040200,renter,0.0,NSI_unit_weighted,324,0
34027040301,owner,0.0,NSI_unit_weighted,1782,0
34027040301,renter,0.0,NSI_unit_weighted,712,0
34027040302,owner,0.0,NSI_unit_weighted,1321,0
34027040302,renter,0.0,no_supported_NSI_record_assumed_zero,52,0
34027040701,owner,0.0,NSI_unit_weighted,1812,0
34027040701,renter,0.0,NSI_unit_weighted,113,0
34027040801,owner,0.0,NSI_unit_weighted,1667,0
34027040801,renter,0.0,NSI_unit_weighted,85,0
34027040803,owner,0.0,NSI_unit_weighted,1930,0
34027040803,renter,0.0,NSI_unit_weighted,579,0
34027040805,owner,0.0,NSI_unit_weighted,2013,0
34027040805,renter,0.0,NSI_unit_weighted,79,0
34027041704,owner,0.0,NSI_unit_weighted,887,0
34027041704,renter,0.0,NSI_unit_weighted,992,0
34031154005,owner,0.0,NSI_unit_weighted,826,0
34031154005,renter,0.0,NSI_unit_weighted,204,0
34031154006,owner,0.360082304526749,NSI_unit_weighted,1198,431
34031154006,renter,0.3961661341853035,NSI_unit_weighted,603,239
34031223802,owner,0.02819463392451114,NSI_unit_weighted,2081,59
34031223802,renter,0.0,NSI_unit_weighted,718,0
34031246001,owner,0.013639626704953339,NSI_unit_weighted,1497,20
34031246001,renter,0.0,NSI_unit_weighted,480,0
34031246003,owner,0.08,NSI_unit_weighted,1482,119
34031246003,renter,0.30158730158730157,NSI_unit_weighted,444,134
34031246102,owner,0.0,NSI_unit_weighted,373,0
34031246102,renter,0.0,NSI_unit_weighted,1079,0
34031246103,owner,0.006588950836289914,NSI_unit_weighted,1781,12
34031246103,renter,0.0,NSI_unit_weighted,407,0
34031246104,owner,0.005115089514066497,NSI_unit_weighted,825,4
34031246104,renter,0.0,NSI_unit_weighted,508,0
34031246201,owner,0.002072538860103627,NSI_unit_weighted,1874,4
34031246201,renter,0.0,NSI_unit_weighted,67,0
34031246202,owner,0.0,NSI_unit_weighted,1743,0
34031246202,renter,0.0,NSI_unit_weighted,23,0
34031246203,owner,0.07859922178988327,NSI_unit_weighted,1247,98
34031246203,renter,0.11428571428571428,NSI_unit_weighted,37,4
34031246300,owner,0.4995242626070409,NSI_unit_weighted,888,444
34031246300,renter,0.5662509742790335,NSI_unit_weighted,896,507
