tract_geoid,_group,sfha_units,total_units,sfha_share,share_status
34013021300,owner,5.0,1631.0,0.0030656039239730227,NSI_unit_weighted
34013021300,renter,0.0,404.0,0.0,NSI_unit_weighted
34013021601,owner,1010.0,2559.0,0.39468542399374756,NSI_unit_weighted
34013021601,renter,39.0,165.5,0.23564954682779457,NSI_unit_weighted
34013021602,owner,5.0,2002.0,0.0024975024975024975,NSI_unit_weighted
34013021602,renter,0.0,251.5,0.0,NSI_unit_weighted
34013021802,owner,2.0,990.0,0.00202020202020202,NSI_unit_weighted
34013021802,renter,50.0,254.0,0.1968503937007874,NSI_unit_weighted
34013021803,owner,5.0,1467.0,0.0034083162917518746,NSI_unit_weighted
34013021803,renter,0.0,24.0,0.0,NSI_unit_weighted
34027040101,owner,0.0,1013.0,0.0,NSI_unit_weighted
34027040101,renter,0.0,125.0,0.0,NSI_unit_weighted
34027040102,owner,0.0,2356.0,0.0,NSI_unit_weighted
34027040102,renter,0.0,192.0,0.0,NSI_unit_weighted
34027040200,owner,0.0,2346.0,0.0,NSI_unit_weighted
34027040200,renter,0.0,32.5,0.0,NSI_unit_weighted
34027040301,owner,0.0,1066.0,0.0,NSI_unit_weighted
34027040301,renter,0.0,22.0,0.0,NSI_unit_weighted
34027040302,owner,0.0,1261.0,0.0,NSI_unit_weighted
34027040302,renter,0.0,0.0,0.0,no_supported_NSI_record_assumed_zero
34027040701,owner,0.0,2054.0,0.0,NSI_unit_weighted
34027040701,renter,0.0,28.0,0.0,NSI_unit_weighted
34027040801,owner,0.0,1745.0,0.0,NSI_unit_weighted
34027040801,renter,0.0,21.0,0.0,NSI_unit_weighted
34027040803,owner,0.0,1709.0,0.0,NSI_unit_weighted
34027040803,renter,0.0,160.0,0.0,NSI_unit_weighted
34027040805,owner,0.0,2082.0,0.0,NSI_unit_weighted
34027040805,renter,0.0,22.0,0.0,NSI_unit_weighted
34027041704,owner,0.0,1025.0,0.0,NSI_unit_weighted
34027041704,renter,0.0,153.5,0.0,NSI_unit_weighted
34031154005,owner,0.0,639.0,0.0,NSI_unit_weighted
34031154005,renter,0.0,53.5,0.0,NSI_unit_weighted
34031154006,owner,350.0,972.0,0.360082304526749,NSI_unit_weighted
34031154006,renter,62.0,156.5,0.3961661341853035,NSI_unit_weighted
34031223802,owner,62.0,2199.0,0.02819463392451114,NSI_unit_weighted
34031223802,renter,0.0,178.0,0.0,NSI_unit_weighted
34031246001,owner,19.0,1393.0,0.013639626704953339,NSI_unit_weighted
34031246001,renter,0.0,83.0,0.0,NSI_unit_weighted
34031246003,owner,152.0,1900.0,0.08,NSI_unit_weighted
34031246003,renter,9.5,31.5,0.30158730158730157,NSI_unit_weighted
34031246102,owner,0.0,637.0,0.0,NSI_unit_weighted
34031246102,renter,0.0,173.5,0.0,NSI_unit_weighted
34031246103,owner,13.0,1973.0,0.006588950836289914,NSI_unit_weighted
34031246103,renter,0.0,80.0,0.0,NSI_unit_weighted
34031246104,owner,4.0,782.0,0.005115089514066497,NSI_unit_weighted
34031246104,renter,0.0,133.5,0.0,NSI_unit_weighted
34031246201,owner,4.0,1930.0,0.002072538860103627,NSI_unit_weighted
34031246201,renter,0.0,22.0,0.0,NSI_unit_weighted
34031246202,owner,0.0,1795.0,0.0,NSI_unit_weighted
34031246202,renter,0.0,6.0,0.0,NSI_unit_weighted
34031246203,owner,101.0,1285.0,0.07859922178988327,NSI_unit_weighted
34031246203,renter,2.0,17.5,0.11428571428571428,NSI_unit_weighted
34031246300,owner,525.0,1051.0,0.4995242626070409,NSI_unit_weighted
34031246300,renter,726.5,1283.0,0.5662509742790335,NSI_unit_weighted
