figure,metric,unit,year,median,q25,q75
Fig5,owner_cum_actual_loss_baseline,$K/household,2011,55.794,55.794,55.794
Fig5,owner_cum_actual_loss_baseline,$K/household,2012,62.237,61.599,63.19
Fig5,owner_cum_actual_loss_baseline,$K/household,2013,69.43,68.075,71.41
Fig5,owner_cum_actual_loss_baseline,$K/household,2014,80.008,77.524,83.398
Fig5,owner_cum_actual_loss_baseline,$K/household,2015,84.077,81.265,88.166
Fig5,owner_cum_actual_loss_baseline,$K/household,2016,88.746,85.593,93.537
Fig5,owner_cum_actual_loss_baseline,$K/household,2017,95.833,92.292,101.632
Fig5,owner_cum_actual_loss_baseline,$K/household,2018,102.448,98.77,109.088
Fig5,owner_cum_actual_loss_baseline,$K/household,2019,107.119,103.212,114.565
Fig5,owner_cum_actual_loss_baseline,$K/household,2020,112.161,108.155,120.427
Fig5,owner_cum_actual_loss_baseline,$K/household,2021,140.411,135.2,151.2
Fig5,owner_cum_actual_loss_baseline,$K/household,2022,149.945,144.45,162.355
Fig5,owner_cum_actual_loss_baseline,$K/household,2023,164.029,158.246,178.696
Fig5,owner_cum_actual_loss_noadapt,$K/household,2011,55.794,55.794,55.794
Fig5,owner_cum_actual_loss_noadapt,$K/household,2012,67.353,67.353,67.353
Fig5,owner_cum_actual_loss_noadapt,$K/household,2013,81.395,81.395,81.395
Fig5,owner_cum_actual_loss_noadapt,$K/household,2014,103.087,103.087,103.087
Fig5,owner_cum_actual_loss_noadapt,$K/household,2015,113.525,113.525,113.525
Fig5,owner_cum_actual_loss_noadapt,$K/household,2016,125.395,125.395,125.395
Fig5,owner_cum_actual_loss_noadapt,$K/household,2017,142.548,142.548,142.548
Fig5,owner_cum_actual_loss_noadapt,$K/household,2018,158.829,158.829,158.829
Fig5,owner_cum_actual_loss_noadapt,$K/household,2019,170.958,170.958,170.958
Fig5,owner_cum_actual_loss_noadapt,$K/household,2020,183.655,183.655,183.655
Fig5,owner_cum_actual_loss_noadapt,$K/household,2021,230.385,230.385,230.385
Fig5,owner_cum_actual_loss_noadapt,$K/household,2022,253.071,253.071,253.071
Fig5,owner_cum_actual_loss_noadapt,$K/household,2023,283.402,283.402,283.402
Fig5,owner_cum_damage_baseline,$K/household,2011,69.681,69.681,69.681
Fig5,owner_cum_damage_baseline,$K/household,2012,84.082,83.976,84.167
Fig5,owner_cum_damage_baseline,$K/household,2013,101.545,101.21,101.791
Fig5,owner_cum_damage_baseline,$K/household,2014,128.382,127.67,129.028
Fig5,owner_cum_damage_baseline,$K/household,2015,141.262,140.268,142.228
Fig5,owner_cum_damage_baseline,$K/household,2016,156.056,154.572,157.466
